time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/value_loss,train/clip_range,train/clip_fraction,train/entropy_loss,train/std,train/explained_variance,train/approx_kl,train/loss,train/policy_gradient_loss,rollout/ep_len_mean,train/n_updates,rollout/ep_rew_mean,train/learning_rate
2476032,1209,263,9408,0.004741024549730355,0.2,0.02568359375,-1.9539578586816788,0.6413044929504395,0.5415835380554199,0.0045536365,-0.03420702740550041,-0.004928031988674775,2917.12,12080,-1380.52331663,0.0001
2478080,1210,263,9416,0.0033621303155086935,0.2,0.063671875,-1.9486440166831016,0.6416727304458618,-0.35395562648773193,0.0056751445,-0.03213856741786003,-0.006105566481710412,2917.12,12090,-1415.0784266899998,0.0001
2480128,1211,263,9424,0.0023924349759909093,0.2,0.021435546875,-1.9503305569291114,0.6418277621269226,-0.9671461582183838,0.0029291043,-0.031790945678949356,-0.00417311533819884,2917.12,12100,-1409.8579822700003,0.0001
2482176,1212,263,9431,0.0033758029516320676,0.2,0.030224609375,-1.9481948435306549,0.6402195692062378,-0.8276435136795044,0.0042924928,-0.034431666135787964,-0.007037958630826324,2917.12,12110,-1409.8579822700003,0.0001
2484224,1213,263,9439,0.0005086477249278687,0.2,0.083349609375,-1.9456080675125123,0.6403939723968506,-0.09030163288116455,0.0061498946,-0.03022913821041584,-0.009428324771579354,2917.12,12120,-1388.91554869,0.0001
2486272,1214,263,9447,0.006687478351523168,0.2,0.02822265625,-1.9477231577038765,0.6416391134262085,0.2411189079284668,0.003509697,-0.023661859333515167,-0.0033940429479116575,2917.12,12130,-1387.41201524,0.0001
2488320,1215,263,9455,0.002829885430401191,0.2,0.05830078125,-1.9528856620192527,0.6437646150588989,0.8260635733604431,0.0062070303,-0.036484185606241226,-0.009192621055990457,2917.12,12140,-1397.43374788,0.0001
2490368,1216,263,9462,0.0012540254911073134,0.2,0.046484375,-1.9564226284623145,0.6432310342788696,-1.3243789672851562,0.0062089544,-0.029343290254473686,-0.007399575144518167,2917.12,12150,-1397.43374788,0.0001
2492416,1217,263,9470,0.0013051010908384341,0.2,0.091162109375,-1.9554651498794555,0.6437923908233643,-0.38453078269958496,0.0074953963,-0.02306722104549408,-0.007933360041351988,2917.12,12160,-1391.53468978,0.0001
2494464,1218,263,9478,0.0026794552366482096,0.2,0.035791015625,-1.9569857984781265,0.6437712907791138,0.06717509031295776,0.0053807045,-0.021685004234313965,-0.00486841878737323,2917.12,12170,-1407.7406330899998,0.0001
2496512,1219,263,9485,0.0022699105604260693,0.2,0.01875,-1.954399161040783,0.6420798301696777,-0.3734809160232544,0.00299101,-0.02479740045964718,-0.0034138311224523933,2917.12,12180,-1407.7406330899998,0.0001
2498560,1220,263,9493,0.0003267794148086978,0.2,0.035498046875,-1.9475546076893806,0.6393958330154419,-2.893599510192871,0.0046857838,-0.029531534761190414,-0.004292400536360219,2917.12,12190,-1355.9367741699998,0.0001
2500608,1221,263,9501,0.002541802725318121,0.2,0.05712890625,-1.9432411208748817,0.6398054361343384,-0.3409501314163208,0.005376525,-0.0321844220161438,-0.006411018344806507,2917.12,12200,-1372.1417382499997,0.0001
2502656,1222,263,9508,0.0021851808196515776,0.2,0.045458984375,-1.9446845695376396,0.6399461030960083,0.2306920289993286,0.0056993375,-0.010928676463663578,-0.003124834195477888,2917.12,12210,-1372.1417382499997,0.0001
2504704,1223,263,9516,0.00018177961346736992,0.2,0.027783203125,-1.9450963780283927,0.6401172876358032,-5.947356224060059,0.0041062906,-0.024068333208560944,-0.0018454171949997544,2945.67,12220,-1381.2231007799999,0.0001
2506752,1224,263,9524,0.0038580955551879015,0.2,0.0275390625,-1.9500312030315399,0.6438139081001282,-0.2165471315383911,0.0037736837,-0.0318538174033165,-0.00682313553406857,2945.67,12230,-1359.1551499299999,0.0001
2508800,1225,263,9531,0.001040212338193669,0.2,0.03916015625,-1.9585305750370026,0.6445637941360474,0.2504950761795044,0.0064238785,-0.02542809210717678,-0.005228827582322992,2945.67,12240,-1359.1551499299999,0.0001
2510848,1226,263,9539,8.48631803819444e-05,0.2,0.04619140625,-1.9550249472260475,0.6418006420135498,-0.6941342353820801,0.007989986,-0.021207189187407494,-0.003444654302438721,2945.67,12250,-1353.5897350100004,0.0001
2512896,1227,263,9546,0.0008384724109419039,0.2,0.042578125,-1.9497604817152023,0.641809344291687,0.8551316261291504,0.00496197,-0.03969993814826012,-0.006485788326244801,2945.67,12260,-1339.88837497,0.0001
2514944,1228,263,9554,0.001833132310275687,0.2,0.045751953125,-1.9508355677127838,0.6422289609909058,0.2942919135093689,0.00626909,-0.03272881358861923,-0.004668446781579405,2945.67,12270,-1339.88837497,0.0001
2516992,1229,263,9562,0.00019428660270932597,0.2,0.063623046875,-1.9516295909881591,0.6421561241149902,-1.040112018585205,0.0060859257,-0.03673496097326279,-0.0065318528679199515,2945.67,12280,-1342.35133055,0.0001
2519040,1230,263,9570,0.029451952257659286,0.2,0.046240234375,-1.9515391409397125,0.6422041654586792,-0.17683959007263184,0.0054126736,-0.015137946233153343,-0.00476725249318406,2918.87,12290,-1430.70019923,0.0001
