episode,training_round,outcome,steps,reward
325,14,timeout,3000,-1677.226545
326,14,timeout,3000,-76.520451
327,14,timeout,3000,-205.806906
328,14,timeout,3000,-446.662165
329,14,timeout,3000,157.019139
330,14,timeout,3000,-883.680918
331,14,timeout,3000,-934.05122
332,14,timeout,3000,-136.545417
333,14,timeout,3000,-218.373417
334,14,timeout,3000,29.012325
335,14,timeout,3000,-482.639965
336,14,timeout,3000,-93.318023
337,14,timeout,3000,-1019.215582
338,14,timeout,3000,-53.570731
339,14,timeout,3000,-1554.55522
340,14,timeout,3000,201.997264
341,14,timeout,3000,-257.918659
342,14,timeout,3000,-1398.797461
343,14,timeout,3000,-436.669456
344,14,timeout,3000,-991.781717
345,14,timeout,3000,58.928793
346,14,timeout,3000,-505.62188
347,14,timeout,3000,-200.965188
348,14,timeout,3000,-1103.074468
349,14,timeout,3000,-100.851228
350,14,timeout,3000,-861.961611
351,14,timeout,3000,-719.177876
352,14,timeout,3000,-2312.707629
353,14,timeout,3000,-183.957212
354,14,crash,3000,226.553612
355,14,timeout,988,-3183.535496
356,14,timeout,3000,-361.558096
357,14,timeout,3000,-4304.549976
358,14,timeout,3000,-2066.867559
359,14,timeout,3000,158.222779
360,14,timeout,3000,-560.44023
361,14,timeout,3000,282.103967
362,14,timeout,3000,-142.14837
363,14,timeout,3000,-3074.505388
364,14,timeout,3000,-256.400561
365,14,timeout,3000,-949.794914
366,14,timeout,3000,-248.110167
367,14,timeout,3000,-102.921373
368,14,timeout,3000,-422.97038
369,14,timeout,3000,-57.797875
370,14,timeout,3000,-1075.335866
371,14,timeout,3000,-1467.939652
372,14,timeout,3000,-782.610646
373,14,timeout,3000,-568.47211
374,14,timeout,3000,-8268.446317
375,14,timeout,3000,184.195064
376,14,timeout,3000,-350.678957
377,14,timeout,3000,87.688631
378,14,timeout,3000,-623.190977
379,14,timeout,3000,114.754562
380,14,timeout,3000,-1094.518673
381,14,timeout,3000,-149.545892
382,14,timeout,3000,191.771724
383,14,timeout,3000,-1466.75353
384,14,timeout,3000,-2793.02074
385,14,timeout,3000,-18.574927
386,14,timeout,3000,-2167.251429
387,14,timeout,3000,-1601.308282
388,14,timeout,3000,-817.512793
389,14,timeout,3000,-177.993694
390,14,timeout,3000,-20.831294
391,14,timeout,3000,73.554132
392,14,timeout,3000,-561.727009
393,14,timeout,3000,-8230.534532
394,14,timeout,3000,214.318157
395,14,timeout,3000,-553.36118
396,14,timeout,3000,-3933.177809
397,14,timeout,3000,-193.460525
398,14,timeout,3000,-1387.219973
399,14,timeout,3000,-970.829505
400,14,timeout,3000,104.9566
401,14,timeout,3000,-1157.498465
402,14,timeout,3000,-1308.889051
403,14,timeout,3000,-3698.306804
404,14,timeout,3000,-2155.117492
405,14,timeout,3000,-175.404522
406,14,timeout,3000,-5682.685444
407,14,timeout,3000,-7778.491286
408,14,timeout,3000,-1737.422837
409,14,timeout,3000,-1966.708279
410,14,timeout,3000,337.142339
411,14,timeout,3000,-1539.031034
412,14,timeout,3000,-189.27727
413,14,timeout,3000,-256.466924
414,14,timeout,3000,213.324405
415,14,timeout,3000,-2254.278549
416,14,goal,3000,558.972382
417,14,timeout,250,-341.775812
418,14,timeout,3000,-1285.298134
419,14,timeout,3000,-1109.364381
420,14,timeout,3000,-8402.163531
421,14,timeout,3000,-517.584537
422,14,timeout,3000,-573.85364
423,14,timeout,3000,-731.788356
424,14,timeout,3000,-486.889331
425,14,timeout,3000,-24.264173
426,14,timeout,3000,-7.05164
427,14,timeout,3000,-1711.167325
428,14,timeout,3000,-3296.817849
429,14,timeout,3000,-197.751946
430,14,timeout,3000,-2684.577676
431,14,timeout,3000,-6904.401266
432,14,timeout,3000,-2407.891037
433,14,timeout,3000,19.576662
434,14,timeout,3000,-2436.398745
435,14,timeout,3000,-2436.921893
436,14,timeout,3000,-495.189142
437,14,timeout,3000,-1280.941156
438,14,timeout,3000,-1174.565194
439,14,timeout,3000,-2328.709579
440,14,timeout,3000,-1604.165471
441,14,timeout,3000,-1103.557914
442,14,timeout,3000,-571.940102
443,14,timeout,3000,-520.097672
444,14,timeout,3000,-482.59698
445,14,timeout,3000,-2604.145896
446,14,goal,3000,1.645332
447,14,timeout,595,-1923.156531
448,14,timeout,3000,-91.018691
449,14,timeout,3000,-194.068967
450,14,timeout,3000,-1939.755249
451,14,timeout,3000,-4315.262789
452,14,timeout,3000,-844.614312
453,14,timeout,3000,233.977945
454,14,goal,3000,2042.595798
455,14,goal,386,-1117.949593
456,14,timeout,242,-357.831967
457,14,timeout,3000,-3836.476658
458,14,timeout,3000,170.319011
459,14,timeout,3000,-60.746308
460,14,timeout,3000,-2015.115914
461,14,timeout,3000,110.99666
462,14,timeout,3000,-135.31234
463,14,timeout,3000,-347.652109
464,14,timeout,3000,-144.763479
465,14,timeout,3000,-1389.967929
466,14,timeout,3000,-962.508505
467,14,timeout,3000,-7348.961108
468,14,timeout,3000,-384.305978
469,14,timeout,3000,-1419.047501
470,14,timeout,3000,-761.85382
471,14,timeout,3000,-1152.090346
472,14,timeout,3000,218.010246
473,14,timeout,3000,-8107.481704
474,14,timeout,3000,-590.173602
475,14,timeout,3000,-3373.935158
476,14,timeout,3000,-729.750897
477,14,timeout,3000,181.139822
478,14,goal,3000,-387.685528
479,14,timeout,111,-152.934656
480,14,timeout,3000,-1577.110147
481,14,goal,3000,-1393.255705
482,14,timeout,1646,-4639.998013
483,14,timeout,3000,-1365.675864
484,14,timeout,3000,963.946807
485,14,timeout,3000,-1584.012888
486,14,timeout,3000,-1836.661875
487,14,timeout,3000,-439.93695
488,14,timeout,3000,-1075.162439
489,14,timeout,3000,-1799.437042
490,14,timeout,3000,-2568.118796
491,14,timeout,3000,-255.90745
492,14,timeout,3000,-143.161052
493,14,timeout,3000,-183.969172
494,14,goal,3000,-8138.756627
495,14,timeout,116,-76.951627
496,14,timeout,3000,-720.798546
497,14,timeout,3000,-3988.715957
498,14,timeout,3000,-2145.757206
499,14,timeout,3000,-2800.026935
500,14,timeout,3000,-3817.692244
501,14,timeout,3000,-729.999732
502,14,timeout,3000,-134.128072
503,14,timeout,3000,-2621.682225
504,14,timeout,3000,-114.861035
505,14,timeout,3000,219.864144
506,14,goal,3000,-7309.841747
507,14,timeout,389,-1180.482373
508,14,timeout,3000,154.150597
509,14,timeout,3000,-2226.525457
510,14,goal,3000,-91.114954
511,14,timeout,1,10.0
512,14,timeout,3000,-4445.42933
513,14,timeout,3000,-5821.020045
514,14,goal,3000,-6003.138782
515,14,timeout,590,-828.086843
516,14,timeout,3000,-1951.150403
517,14,timeout,3000,-357.406356
518,14,timeout,3000,-730.248499
519,14,timeout,3000,235.077779
520,14,timeout,3000,-3057.380167
521,14,timeout,3000,-5256.880252
522,14,timeout,3000,-130.772914
523,14,timeout,3000,-12.023768
524,14,timeout,3000,-989.447642
525,14,timeout,3000,-476.145714
526,14,timeout,3000,-3517.717153
527,14,timeout,3000,-37.748355
528,14,timeout,3000,-626.332858
529,14,timeout,3000,-94.405596
530,14,timeout,3000,-1298.623522
531,14,timeout,3000,-16.982473
532,14,timeout,3000,-1179.466487
533,14,timeout,3000,259.845744
534,14,timeout,3000,-35.314691
535,14,timeout,3000,-1.22888
536,14,timeout,3000,-241.311022
537,14,timeout,3000,243.011401
538,14,timeout,3000,104.027758
539,14,timeout,3000,93.284479
540,14,goal,3000,-1473.449634
541,14,timeout,1,10.0
542,14,timeout,3000,-5018.909169
543,14,timeout,3000,-2486.518252
544,14,timeout,3000,-2248.071445
545,14,timeout,3000,-2273.999332
546,14,timeout,3000,-155.439613
547,14,timeout,3000,-926.186495
548,14,timeout,3000,-5560.415128
549,14,timeout,3000,-2344.566011
550,14,timeout,3000,-1346.32259
551,14,timeout,3000,-1937.558493
552,14,timeout,3000,-1609.270173
553,14,timeout,3000,-199.919271
554,14,timeout,3000,26.712086
555,14,timeout,3000,-484.701658
556,14,timeout,3000,32.211358
557,14,timeout,3000,-5603.261281
558,14,timeout,3000,255.06165
559,14,timeout,3000,-3195.095973
560,14,timeout,3000,135.305671
561,14,timeout,3000,116.712204
562,14,timeout,3000,-525.904754
563,14,timeout,3000,132.414988
564,14,timeout,3000,-1028.914072
565,14,timeout,3000,-466.111347
566,14,timeout,3000,-7055.948694
567,14,goal,3000,324.742529
568,14,timeout,1,10.0
569,14,timeout,3000,-2459.854311
570,14,goal,3000,-1315.717498
571,14,timeout,91,-89.076259
572,14,goal,3000,-5666.941469
573,14,timeout,115,-92.687462
574,14,timeout,3000,75.0356
575,14,timeout,3000,237.071894
576,14,timeout,3000,-1724.234728
577,14,timeout,3000,-3576.969122
578,14,timeout,3000,-2192.521118
579,14,timeout,3000,-167.554636
580,14,goal,3000,199.640273
581,14,timeout,214,-556.302698
582,14,timeout,3000,-2348.58134
583,14,timeout,3000,83.022079
584,14,goal,3000,-126.915122
585,14,timeout,1,10.0
586,14,timeout,3000,22.810527
587,14,timeout,3000,-779.542385
588,14,timeout,3000,-4308.655604
589,14,timeout,3000,-65.281217
590,14,timeout,3000,-896.171772
591,14,timeout,3000,-639.213849
592,14,timeout,3000,-232.389077
593,14,timeout,3000,-206.442336
594,14,timeout,3000,-963.71548
595,14,timeout,3000,-759.656988
596,14,timeout,3000,-8258.55092
597,14,timeout,3000,253.816361
598,14,goal,3000,197.431268
599,14,timeout,1,10.0
600,14,timeout,3000,-2269.358189
601,14,timeout,3000,-132.49141
602,14,timeout,3000,264.379236
603,14,timeout,3000,-12.978569
604,14,timeout,3000,-107.822053
605,14,timeout,3000,-3884.616079
606,14,timeout,3000,-1095.513023
607,14,goal,3000,-760.59582
608,14,timeout,36,5.107732
609,14,timeout,3000,-1415.505561
610,14,timeout,3000,172.637382
611,14,timeout,3000,215.136351
612,14,timeout,3000,-999.192091
613,14,timeout,3000,-6162.467748
614,14,timeout,3000,-788.866797
615,14,timeout,3000,-1170.979669
616,14,timeout,3000,161.938528
617,14,timeout,3000,-750.89792
618,14,timeout,3000,-167.209079
619,14,timeout,3000,-767.076501
620,14,timeout,3000,89.949195
621,14,timeout,3000,170.094039
622,14,timeout,3000,-201.097223
623,14,timeout,3000,-961.268172
624,14,timeout,3000,-5149.155697
625,14,timeout,3000,-3321.911049
626,14,timeout,3000,-1256.280317
627,14,timeout,3000,-6718.331856
628,14,timeout,3000,-2108.357824
629,14,timeout,3000,-3745.211546
630,14,timeout,3000,-871.196042
631,14,goal,3000,-3006.514027
632,14,timeout,2450,-5065.79598
633,14,timeout,3000,-1232.65888
634,14,timeout,3000,-181.974826
635,14,timeout,3000,1883.351463
636,14,timeout,3000,-809.502478
637,14,timeout,3000,-465.788791
638,14,timeout,3000,52.507822
639,14,timeout,3000,-416.22114
640,14,goal,3000,-5552.942499
641,14,timeout,1,10.0
642,14,timeout,3000,605.02286
643,14,timeout,3000,-3571.230086
644,14,timeout,3000,-5767.886493
645,14,timeout,3000,257.6485
646,14,timeout,3000,-79.183809
647,14,timeout,3000,-1480.632006
648,14,timeout,3000,-2298.979963
649,14,timeout,3000,-1018.351233
650,14,timeout,3000,-645.506871
651,14,timeout,3000,-1031.792114
652,14,timeout,3000,-309.11607
653,14,timeout,3000,-266.300953
654,14,timeout,3000,40.692381
655,14,timeout,3000,55.935977
656,14,timeout,3000,150.446253
657,14,timeout,3000,127.671678
658,14,timeout,3000,-1888.066631
659,14,timeout,3000,-1953.82674
660,14,goal,3000,-471.289684
661,14,timeout,1,10.0
662,14,timeout,3000,-250.833926
663,14,timeout,3000,-1407.670912
664,14,timeout,3000,125.042293
665,14,goal,3000,236.599112
666,14,timeout,60,25.238001
667,14,timeout,3000,-43.348932
668,14,timeout,3000,-2468.089974
669,14,timeout,3000,50.712189
670,14,timeout,3000,-3352.79222
671,14,goal,3000,-68.235456
672,14,timeout,1,10.0
673,14,timeout,3000,-57.684542
674,14,timeout,3000,-7804.976233
675,14,timeout,3000,-2146.805303
676,14,timeout,3000,-246.26583
677,14,timeout,3000,58.679497
678,14,timeout,3000,-288.400848
679,14,timeout,3000,19.814848
680,14,timeout,3000,-391.359168
681,14,timeout,3000,126.842285
682,14,timeout,3000,-197.493434
683,14,timeout,3000,-1208.810588
684,14,timeout,3000,-434.623242
685,14,timeout,3000,-36.627148
686,14,timeout,3000,-3105.487933
687,14,timeout,3000,-1733.900102
688,14,timeout,3000,-3440.953282
689,14,timeout,3000,-575.865516
690,14,timeout,3000,216.120624
691,14,timeout,3000,-298.158412
692,14,timeout,3000,-5011.051192
693,14,timeout,3000,189.509191
694,14,timeout,3000,11.001046
695,14,timeout,3000,-479.153073
696,14,timeout,3000,-22.686635
697,14,timeout,3000,-764.448476
698,14,timeout,3000,242.016432
699,14,timeout,3000,-24.887604
700,14,goal,3000,-1782.565494
701,14,timeout,59,-7.356516
702,14,timeout,3000,-771.690312
703,14,timeout,3000,218.836828
704,14,timeout,3000,-210.366885
705,14,timeout,3000,-2945.36868
706,14,timeout,3000,-4491.152629
707,14,timeout,3000,-1093.879089
708,14,timeout,3000,-3836.544223
709,14,timeout,3000,-259.118255
710,14,timeout,3000,-265.443121
711,14,timeout,3000,-2563.569572
712,14,timeout,3000,-296.402263
713,14,timeout,3000,-1072.357875
714,14,timeout,3000,-1415.579502
715,14,timeout,3000,-192.849644
716,14,timeout,3000,-2069.849698
717,14,goal,3000,-240.099074
718,14,timeout,370,-1034.466954
719,14,timeout,3000,-127.150253
720,14,timeout,3000,-674.213633
721,14,timeout,3000,-7129.37351
722,14,timeout,3000,-346.456859
723,14,timeout,3000,160.992689
724,14,goal,3000,9.572843
725,14,timeout,1,10.0
726,14,timeout,3000,-1854.012359
727,14,timeout,3000,-491.046473
728,14,timeout,3000,-438.880022
729,14,timeout,3000,9.830018
730,14,timeout,3000,-1445.737411
731,14,timeout,3000,-656.078188
732,14,timeout,3000,-206.411123
733,14,timeout,3000,-1056.832027
734,14,goal,3000,187.942962
735,14,timeout,225,-430.642576
736,14,timeout,3000,-2939.950515
737,14,timeout,3000,-1484.295008
738,14,timeout,3000,-918.488403
739,14,timeout,3000,221.330565
740,14,timeout,3000,-2600.588911
741,14,timeout,3000,-155.58937
742,14,timeout,3000,-2733.65835
743,14,timeout,3000,18.396674
744,14,timeout,3000,-5696.701862
745,14,timeout,3000,-23.381358
746,14,timeout,3000,-2208.2568
747,14,timeout,3000,-1626.7433
748,14,timeout,3000,-2078.325447
749,14,timeout,3000,-2128.352504
750,14,timeout,3000,-2014.562727
751,14,timeout,3000,-3893.964719
752,14,goal,3000,-2632.225617
753,14,timeout,1,10.0
754,14,timeout,3000,0.404578
755,14,timeout,3000,-618.661396
756,14,timeout,3000,239.451921
757,14,timeout,3000,-536.59683
758,14,timeout,3000,-915.672716
759,14,timeout,3000,-487.436673
760,14,timeout,3000,-850.481714
761,14,timeout,3000,223.669028
762,14,timeout,3000,-4423.785359
763,14,timeout,3000,-113.570504
764,14,timeout,3000,-60.623728
765,14,timeout,3000,-2341.484391
766,14,goal,3000,-402.432831
767,14,timeout,98,-47.717392
768,14,timeout,3000,154.1941
769,14,timeout,3000,-552.819172
770,14,timeout,3000,-9579.224758
771,14,timeout,3000,-211.505116
772,14,timeout,3000,-46.020879
773,14,timeout,3000,-4041.709411
774,14,timeout,3000,-91.078598
775,14,timeout,3000,-709.993725
776,14,timeout,3000,-3398.943498
777,14,timeout,3000,-514.171828
778,14,timeout,3000,-886.329552
779,14,timeout,3000,-401.595553
780,14,timeout,3000,-86.990952
781,14,timeout,3000,-5707.261903
782,14,goal,3000,-466.82295
783,14,timeout,145,-259.216141
784,14,timeout,3000,-3854.226352
785,14,timeout,3000,-1213.124817
786,14,timeout,3000,-1418.535514
787,14,timeout,3000,-314.846645
788,14,timeout,3000,-682.401689
789,14,timeout,3000,225.94111
790,14,timeout,3000,-624.426493
791,14,timeout,3000,-748.215062
792,14,timeout,3000,-5411.399279
793,14,timeout,3000,-961.622167
794,14,goal,3000,-2921.417992
795,14,timeout,551,-1776.577013
796,14,timeout,3000,-5270.475466
797,14,timeout,3000,-3403.594707
798,14,timeout,3000,-80.966214
799,14,timeout,3000,-3918.73902
800,14,timeout,3000,-1786.935938
801,14,timeout,3000,-7934.308022
802,14,timeout,3000,38.207918
803,14,timeout,3000,-5005.049613
804,14,timeout,3000,-1265.53471
805,14,timeout,3000,83.80033
806,14,timeout,3000,-815.307498
807,14,timeout,3000,-7229.447813
808,14,timeout,3000,-74.002906
809,14,timeout,3000,-2225.95733
810,14,timeout,3000,-2633.865326
811,14,timeout,3000,-277.984703
812,14,timeout,3000,190.967884
813,14,timeout,3000,-2389.823413
814,14,timeout,3000,-3161.906343
