#{"t_start": 1755855431.188443, "env_id": "None"}
r,l,t
-2145.757206,3000,5455.288441
-2800.026935,3000,5466.378387
-3817.692244,3000,5477.843675
-729.999732,3000,5489.039894
-134.128072,3000,5500.354982
-2621.682225,3000,5511.949894
-114.861035,3000,5523.345712
219.864144,3000,5534.569856
-7309.841747,3000,5545.815896
-1180.482373,389,5547.236854
154.150597,3000,5558.336525
-2226.525457,3000,5569.752647
-91.114954,3000,5581.064749
10.0,1,5581.076346
-4445.42933,3000,5592.153194
-5821.020045,3000,5603.139054
-6003.138782,3000,5614.304488
-828.086843,590,5616.479822
-1951.150403,3000,5627.656361
-357.406356,3000,5638.957272
-730.248499,3000,5650.058599
235.077779,3000,5661.396168
-3057.380167,3000,5672.653487
-5256.880252,3000,5683.896975
-130.772914,3000,5695.126342
-12.023768,3000,5706.395604
-989.447642,3000,5717.623456
-476.145714,3000,5728.985589
-3517.717153,3000,5740.300714
-37.748355,3000,5751.569333
-626.332858,3000,5762.945055
-94.405596,3000,5774.019474
-1298.623522,3000,5785.265383
-16.982473,3000,5796.289427
-1179.466487,3000,5807.544063
259.845744,3000,5818.748993
-35.314691,3000,5830.013617
-1.22888,3000,5841.007676
-241.311022,3000,5852.21059
243.011401,3000,5863.284143
104.027758,3000,5874.490703
93.284479,3000,5885.733653
-1473.449634,3000,5896.86712
10.0,1,5896.877222
-5018.909169,3000,5908.194844
-2486.518252,3000,5919.230338
-2248.071445,3000,5930.581928
-2273.999332,3000,5941.704693
-155.439613,3000,5953.047754
-926.186495,3000,5964.108579
-5560.415128,3000,5975.429121
-2344.566011,3000,5986.645111
-1346.32259,3000,5998.067875
-1937.558493,3000,6009.35884
-1609.270173,3000,6020.58614
-199.919271,3000,6031.69555
26.712086,3000,6042.798189
-484.701658,3000,6054.187028
32.211358,3000,6065.356794
-5603.261281,3000,6076.6581
255.06165,3000,6087.838473
-3195.095973,3000,6099.18922
135.305671,3000,6110.204992
116.712204,3000,6121.429526
-525.904754,3000,6132.670136
132.414988,3000,6144.025739
